Designator,Mid X,Mid Y,Rotation,Layer
C1,12.495,-22.3575,270.0,top
C10,78.52,11.085,270.0,top
C11,87.7325,-2.965,180.0,top
C12,87.7043,5.646,180.0,top
C13,87.7325,-1.39,180.0,top
C14,76.4075,4.835,180.0,top
C15,83.345,10.9725,90.0,top
C16,77.0075,3.11,180.0,top
C17,82.8934,0.5492,90.0,top
C18,77.407,0.5511,90.0,top
C19,69.445,-1.3775,270.0,top
C2,14.57,-22.5325,270.0,top
C20,67.795,-1.3775,90.0,top
C21,85.4334,9.7325,90.0,top
C22,79.2855,-3.1584,180.0,top
C23,65.995,-10.8025,270.0,top
C24,67.595,-10.815,270.0,top
C25,73.1387,-6.1556,0.0,top
C26,93.23,-22.43,270.0,top
C27,91.64,-22.43,270.0,top
C28,93.23,-16.46,90.0,top
C29,51.725,-19.4475,270.0,top
C3,16.22,-22.5325,270.0,top
C30,91.65,-16.46,90.0,top
C31,57.25,-19.4425,270.0,top
C32,47.3075,-18.825,0.0,top
C33,82.47,-15.81,180.0,top
C34,47.3075,-20.375,180.0,top
C35,61.6325,-18.59,180.0,top
C36,82.5,-17.43,0.0,top
C37,61.6324,-20.2142,180.0,top
C38,22.245,-40.6575,270.0,top
C39,82.46,-19.02,0.0,top
C4,110.2043,0.971,180.0,top
C40,53.5775,-26.51,180.0,top
C41,82.4475,-20.62,0.0,top
C42,53.5725,-24.92,0.0,top
C43,82.44,-22.2,0.0,top
C44,36.165,6.155,0.0,top
C45,89.94,-24.35,270.0,top
C46,36.159,4.5898,0.0,top
C47,23.4325,6.165,0.0,top
C48,23.4265,4.5748,0.0,top
C49,20.22,-39.9575,90.0,top
C5,110.2168,3.396,180.0,top
C50,26.805,-39.9675,270.0,top
C51,18.67,-39.9575,90.0,top
C52,28.38,-39.9675,270.0,top
C53,10.3285,6.1452,0.0,top
C54,10.3225,4.565,0.0,top
C55,48.676,6.0902,0.0,top
C56,48.695,4.505,0.0,top
C57,87.44,-25.35,180.0,top
C58,87.44,-23.6,180.0,top
C59,100.62681,-27.382343,90.0,top
C6,105.4793,-0.554,180.0,top
C60,98.97581,-27.382343,90.0,top
C61,101.05211,-36.272343,270.0,top
C62,102.68211,-36.272343,270.0,top
C63,110.99211,-27.465843,90.0,top
C64,109.41211,-27.465843,90.0,top
C65,102.74211,-27.393343,90.0,top
C66,105.22211,-26.953343,0.0,top
C67,105.22211,-28.583343,0.0,top
C7,105.4793,4.446,0.0,top
C8,104.54,1.91,90.0,top
C9,76.895,11.085,270.0,top
FL1,27.97,-22.345,0.0,top
IC1,87.5,-19.25,180.0,top
IC2,106.82211,-32.783343,0.0,top
J1,4.52,-22.355,270.0,top
J10,75.68,-19.72,0.0,top
J12,22.5,-3.16,90.0,top
J13,23.515,-34.77,270.0,bottom
J14,8.7,-3.1,90.0,top
J15,55.265,-34.77,270.0,bottom
J16,47.95,-3.04,90.0,top
J17,16.915,10.94,270.0,bottom
J18,52.725,10.95,270.0,bottom
J25,89.1278,-38.8798,90.0,top
J26,112.1896,-16.83,180.0,top
J5,99.545,2.01,90.0,top
J6,35.25,-3.07,90.0,top
R1,113.5918,1.971,90.0,top
R10,80.0975,8.5218,0.0,top
R11,79.0326,0.5989,270.0,top
R12,84.519,4.0063,90.0,top
R13,73.1887,-4.53,180.0,top
R14,73.1887,-7.7304,0.0,top
R15,73.25,-13.75,180.0,top
R16,94.92,1.84,180.0,top
R18,50.8125,-21.92,0.0,top
R19,47.3575,-21.935,180.0,top
R2,99.6825,-5.015,180.0,top
R20,58.1575,-21.915,180.0,top
R21,61.5699,-21.915,0.0,top
R29,111.92211,-24.945843,180.0,top
R3,95.8455,-5.015,180.0,top
R30,108.48211,-24.955843,0.0,top
R32,41.1775,-4.27,90.0,top
R33,41.2025,-8.3177,270.0,top
R35,20.4075,15.31,0.0,top
R36,70.8875,15.33,180.0,top
R37,28.495,-4.235,90.0,top
R38,28.52,-8.2827,270.0,top
R39,15.385,-4.1525,90.0,top
R4,99.5575,8.935,180.0,top
R40,15.41,-8.2775,270.0,top
R41,53.795,-4.1275,90.0,top
R42,53.795,-8.3275,270.0,top
R5,95.9174,8.935,180.0,top
R6,80.1952,11.03,270.0,top
R7,81.77,11.035,90.0,top
R8,84.519,0.6008,270.0,top
R9,81.2678,0.6008,90.0,top
TP10,90.965,12.33,180.0,top
TP11,91.02,8.185,180.0,top
TP15,62.465,-10.68,180.0,top
TP17,78.352,-11.877,180.0,top
TP3,107.495,7.71,180.0,top
TP4,111.845,-3.09,180.0,top
TP5,111.745,7.66,180.0,top
TP6,39.27,-24.545,0.0,top
TP7,39.245,-20.245,0.0,top
TP8,86.27,-6.715,180.0,top
TP9,90.42,-6.84,180.0,top
U1,89.3418,2.146,90.0,top
U2,80.5858,5.875,0.0,top
U3,72.7516,-1.2829,0.0,top
U4,70.9338,-10.7276,0.0,top
U7,54.435,-21.66,90.0,top
